round	source_label	source_base	source_commit	target	target_commit	target_description	delta_status	path	source_mode	source_blob	target_mode	target_blob	comparison	later_owner	later_commits	invariant	detail
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/control-plane.test.mjs	100644	010bdd8296539d301a0a1cb905cf90af4575b94b	100644	010bdd8296539d301a0a1cb905cf90af4575b94b	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/coordination.test.mjs	100644	a84ba572cd9d9b437c73128791423f3cee4139a6	100644	a84ba572cd9d9b437c73128791423f3cee4139a6	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/durability.test.mjs	100644	dbc8f7c7122176359557adc4041e6a50c7b0b5b4	100644	dbc8f7c7122176359557adc4041e6a50c7b0b5b4	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	app/tests/fixtures/review-core-client/worker.py	100755	7386de4e1d45e96983e2e0227789f0ec102b14ca	100755	7386de4e1d45e96983e2e0227789f0ec102b14ca	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	app/tests/fixtures/review-provider/loopback.mjs	100644	16faff88a5017a60f3bb139a547f8b98a18f0dff	100644	16faff88a5017a60f3bb139a547f8b98a18f0dff	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/home-presentation.test.mjs	100644	cec24c55b4bc61ca7a9d9078f9f558b6d5d187fb	100644	e0b95bb3f69fe59bfa2ee55256c61d3c750f1d4f	authorized_later	ATT	9db6fc4362a07dc8ff20e1914e2ac471f20b62c1	TinyDOM helpers move to tiny-dom.mjs for ATT coverage	later owner/hunk recorded in shared-invariants.tsv
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	M	app/tests/request-telemetry.test.mjs	100644	732ef3dd74cac27632d8b8f2d7cd05c08ab247e0	100644	732ef3dd74cac27632d8b8f2d7cd05c08ab247e0	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	app/tests/review-core-client-lifecycle.test.mjs	100644	aecd8d40b943cf521f44c356f8f929927d7dd442	100644	aecd8d40b943cf521f44c356f8f929927d7dd442	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	app/tests/review-provider-publication-migration.test.mjs	100644	64f6527f9ebdbeae269acd99d06e2b0386930b71	100644	64f6527f9ebdbeae269acd99d06e2b0386930b71	retained_exact	-	-	source mode/blob equals target mode/blob	-
B0	baseline	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	df9fc18b9f1a8374d72fa071c2b9c1e61e0010d1	T055	055cffcbc18eb26d15f3818aada50b82a4bd0fa8	accepted ATT/material HEAD	A	app/tests/review-provider-roundtrip.test.mjs	100644	12ce475582687541b4425f71e98a72b6a243c9a6	100644	12ce475582687541b4425f71e98a72b6a243c9a6	retained_exact	-	-	source mode/blob equals target mode/blob	-
