path	source_status	source_mode	source_blob	final_mode	final_blob	comparison
engineering/design/material-specimen-2026-09-10/captures/board-c-transient__1440-light.png	A	100644	da201b793ff9decdf55c308659bb5c6a661b8001	100644	da201b793ff9decdf55c308659bb5c6a661b8001	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-c-transient__390-dark.png	A	100644	9a1e451cc05e104fd4a4452c92bf2af32e5730f2	100644	9a1e451cc05e104fd4a4452c92bf2af32e5730f2	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-c-transient__390-light.png	A	100644	66417f00eef64e4c3e57c94435dd26abb83cc4ba	100644	66417f00eef64e4c3e57c94435dd26abb83cc4ba	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-d-review__1440-dark.png	A	100644	7ecd0fc525af5df4cc246901c57efb6ca2c4cfbb	100644	7ecd0fc525af5df4cc246901c57efb6ca2c4cfbb	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-d-review__1440-light-zoom200.png	A	100644	64781512da0944c356724e178d3075a87170af65	100644	64781512da0944c356724e178d3075a87170af65	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-d-review__1440-light.png	A	100644	60fa6f2e436ccc9294004e274f42a378119a0d94	100644	60fa6f2e436ccc9294004e274f42a378119a0d94	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-d-review__390-dark.png	A	100644	01f1e5efef1a9963c4c19695653856a0c6ef15cc	100644	01f1e5efef1a9963c4c19695653856a0c6ef15cc	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-d-review__390-light.png	A	100644	2edf15e4131036701b4eab3da16566188ccde362	100644	2edf15e4131036701b4eab3da16566188ccde362	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-e-negative__1440-dark.png	A	100644	020ab31cb574da23f3b444eeb6e9ccd0a3c2f6d5	100644	020ab31cb574da23f3b444eeb6e9ccd0a3c2f6d5	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-e-negative__1440-light.png	A	100644	9b65ac679a86e387c4241e1e5061afd1ff2d1c4b	100644	9b65ac679a86e387c4241e1e5061afd1ff2d1c4b	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-e-negative__390-dark.png	A	100644	00b4395cad915e6ba23aad94389ddc5e90f9f2f7	100644	00b4395cad915e6ba23aad94389ddc5e90f9f2f7	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-e-negative__390-light.png	A	100644	f62c3e054224542134d28b55cad0eb80647262f3	100644	f62c3e054224542134d28b55cad0eb80647262f3	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-f-focus__1440-dark.png	A	100644	dbe4b27147d7903184c32ff4ae121b9a4b1343a3	100644	dbe4b27147d7903184c32ff4ae121b9a4b1343a3	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-f-focus__1440-light.png	A	100644	cea6f8be1aa3b04019b50775d8ebf897e8fdc292	100644	cea6f8be1aa3b04019b50775d8ebf897e8fdc292	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-f-focus__390-dark.png	A	100644	b2aadefc07b672548b172854467a659a63c01a47	100644	b2aadefc07b672548b172854467a659a63c01a47	retained_exact
engineering/design/material-specimen-2026-09-10/captures/board-f-focus__390-light.png	A	100644	f64b21d1543d4fe165a64c4847e5c222fb7d577b	100644	f64b21d1543d4fe165a64c4847e5c222fb7d577b	retained_exact
engineering/design/material-specimen-2026-09-10/index.html	A	100644	b91ad06ca2f143fe6de0275f7be243b339b7d2d4	100644	b91ad06ca2f143fe6de0275f7be243b339b7d2d4	retained_exact
engineering/design/material-specimen-2026-09-10/measurements.json	A	100644	d1df1627c2ace37af68ed8c9670d9ac0e14c91b1	100644	d1df1627c2ace37af68ed8c9670d9ac0e14c91b1	retained_exact
engineering/design/material-specimen-2026-09-10/observations.md	A	100644	45f28b184d1b5deb08ed06453174f4cfbe05b0aa	100644	45f28b184d1b5deb08ed06453174f4cfbe05b0aa	retained_exact
engineering/design/material-specimen-2026-09-10/specimen.css	A	100644	592aaf81b42c2dca102d7f66934438de690259a4	100644	592aaf81b42c2dca102d7f66934438de690259a4	retained_exact
engineering/design/material-specimen-2026-09-10/specimen.mjs	A	100644	d28d723de9e82fcb0747bfaf840fb259830f2a1e	100644	d28d723de9e82fcb0747bfaf840fb259830f2a1e	retained_exact
engineering/mvp/execution/work-surface-kit/explore/ex-fe05-material-specimen.md	A	100644	db1eed46ddb5ee17ae9629740a0a7f42a87b296a	100644	db1eed46ddb5ee17ae9629740a0a7f42a87b296a	retained_exact
